legislator_id,week,ideology_score
cand756,Week 1,-1.3640232003412833
cand607,Week 1,-1.8221283719510586
cand1638,Week 1,0.06356847689689404
cand1503,Week 1,-0.7660409341131428
cand1465,Week 1,1.431461568896325
cand1230,Week 1,-0.3688848197093356
cand1255,Week 1,0.20889751316205415
cand1239,Week 1,0.2009640408732924
cand1275,Week 1,0.9995811479626999
cand1510,Week 1,0.7410429334222413
cand1477,Week 1,0.17670227127895793
cand868,Week 1,1.4781607875639609
cand763,Week 1,1.1577296132452577
cand766,Week 1,0.042733953260885055
cand513,Week 1,0.8021613273384928
cand1323,Week 1,-0.2842140055822324
cand53,Week 1,-1.098676241339568
cand584,Week 1,-1.3603329231093886
cand80,Week 1,-2.5450575993865048
cand837,Week 1,0.8500304484533944
cand1220,Week 1,0.8008118605679868
cand886,Week 1,0.8057436813675943
cand1304,Week 1,1.368363739065793
cand921,Week 1,-1.4113008712219228
cand1288,Week 1,1.0412690776648446
cand799,Week 1,0.4936977380695141
cand1425,Week 1,0.027668176062695615
cand911,Week 1,1.4141480888071989
cand760,Week 1,-1.5097807480747019
cand894,Week 1,-1.8149744870487496
cand858,Week 1,-0.011542274719457624
cand1467,Week 1,-0.3226127277835043
cand1526,Week 1,-0.2188395621245288
cand625,Week 1,-1.167207525726592
cand719,Week 1,0.16437387573536816
cand251,Week 1,0.02842859163844441
cand872,Week 1,0.9493550106948786
cand560,Week 1,-0.11413660449924938
cand619,Week 1,-0.5918211986300763
cand1637,Week 1,1.5866053817607226
cand1628,Week 1,0.542695745370464
cand1265,Week 1,-0.6636693889725418
cand194302,Week 1,-0.29242163513239866
cand864,Week 1,1.4627443923610006
cand785,Week 1,-2.027452629852956
cand1435,Week 1,0.6352022707416201
cand765,Week 1,-1.229208386261102
cand1279,Week 1,-2.3646810885446476
cand1410,Week 1,-0.15398650259365335
cand890,Week 1,0.47102350835668677
cand730,Week 1,0.954069693990938
cand1349,Week 1,1.3308185572216773
cand1474,Week 1,-0.5960538556558319
cand880,Week 1,0.7233082574413692
cand1198,Week 1,0.5561920058664482
cand885,Week 1,-0.7973210161846926
cand601,Week 1,0.8763484610930175
cand1443,Week 1,0.523044009847784
cand1494,Week 1,0.47271282638674017
cand230,Week 1,0.542695745457272
cand1455,Week 1,-0.02267699740804505
cand770,Week 1,0.6314270791605617
cand221,Week 1,0.5875079863264125
cand408,Week 1,0.8021613272749698
cand396,Week 1,-1.2179979356424584
cand1496,Week 1,-0.4564491128238474
cand1340,Week 1,1.0619103572015625
cand1303,Week 1,1.1028725402444142
cand884,Week 1,-1.6844606788974055
cand788,Week 1,-1.5923412096565819
cand253,Week 1,0.6314270791858108
cand721,Week 1,-0.09055636329490845
cand667,Week 1,-0.7936183321615312
cand1244,Week 1,-0.6239426544805423
cand1347,Week 1,0.994574598486381
cand203,Week 1,-0.7975954529666865
cand351,Week 1,-0.5403371903849697
cand826,Week 1,0.06888090534028413
cand1622,Week 1,1.3465250201358183
cand889,Week 1,0.5230440086826047
cand310,Week 1,1.1172089725032888
cand846,Week 1,0.19730714125484256
cand774,Week 1,1.574367177796858
cand222,Week 1,1.204968959412171
cand1449,Week 1,1.1709121648141099
cand1424,Week 1,0.31551655967194764
cand1252,Week 1,0.4208297174408895
cand1264,Week 1,1.3801739052785587
cand1235,Week 1,0.14921748828833323
cand1543,Week 1,1.117208972477556
cand578,Week 1,-1.143102035799827
cand1562,Week 1,0.9561907009811661
cand1609,Week 1,0.20096404087329256
cand1458,Week 1,-0.14639432120375928
cand856,Week 1,-1.5523608370242155
cand495,Week 1,1.261739229759106
cand768,Week 1,-0.09690248556996117
cand1471,Week 1,0.3781659690869235
cand756,Week 2,-0.4066543015462522
cand607,Week 2,0.1053124531295927
cand1638,Week 2,0.8015453211381035
cand1503,Week 2,-1.024055463525468
cand1465,Week 2,0.33070888504761264
cand1230,Week 2,-0.038527574743858456
cand1255,Week 2,0.9876165042894232
cand1239,Week 2,1.619644658826577
cand1275,Week 2,1.0174030894608455
cand1477,Week 2,1.1005467998776077
cand868,Week 2,0.5052322956022022
cand763,Week 2,1.4031995535888626
cand766,Week 2,-1.766498756068029
cand513,Week 2,-0.9113869896789146
cand1323,Week 2,-0.16972588160316837
cand584,Week 2,-0.9343660282178549
cand80,Week 2,-2.0980549232239247
cand837,Week 2,1.0135987378594298
cand498,Week 2,-1.5076748232845825
cand1220,Week 2,-0.6139663855493512
cand886,Week 2,0.006143690333686891
cand1304,Week 2,0.6291280275018936
cand921,Week 2,1.5276551651661365
cand1288,Week 2,0.7212447766230966
cand799,Week 2,0.6519635087101632
cand1425,Week 2,-0.8045874284106886
cand911,Week 2,-0.3718306379287166
cand1413,Week 2,0.8412649058171222
cand760,Week 2,-1.9084771437906531
cand894,Week 2,-0.9567853384675287
cand1467,Week 2,0.3656659247986873
cand1526,Week 2,-0.5611661581557934
cand625,Week 2,1.1116169084383716
cand719,Week 2,0.012992405046333422
cand251,Week 2,0.659575704854156
cand872,Week 2,0.8794268133735667
cand560,Week 2,1.050373916259461
cand619,Week 2,-0.7329685681637088
cand382,Week 2,-0.9343660282171667
cand1637,Week 2,-0.15646086869267195
cand1628,Week 2,1.1781296116834539
cand1265,Week 2,1.0219353133544158
cand194302,Week 2,0.8780239697171541
cand864,Week 2,0.2414278751414884
cand785,Week 2,-1.7170811387720604
cand1435,Week 2,0.0869439393690062
cand765,Week 2,-2.038727475611696
cand890,Week 2,1.5305140591420219
cand1389,Week 2,0.7686491115035344
cand730,Week 2,1.1781296116834536
cand1349,Week 2,0.824791536074915
cand1474,Week 2,-1.2884006397231054
cand880,Week 2,0.9997059115695452
cand1198,Week 2,-0.8976990362367198
cand885,Week 2,1.032206208859245
cand601,Week 2,0.46532462258285073
cand1443,Week 2,-0.15646086870809206
cand1494,Week 2,0.3278557224372217
cand230,Week 2,-0.7630833726094722
cand1455,Week 2,-0.5092562747560713
cand770,Week 2,1.081763199408694
cand408,Week 2,0.4280214956667447
cand396,Week 2,0.155363963697218
cand1496,Week 2,-1.2208845440355596
cand1303,Week 2,1.4010274195140344
cand1340,Week 2,1.3582664647597111
cand776,Week 2,-0.943747118255259
cand884,Week 2,1.1408123758325546
cand788,Week 2,-1.9708365162455288
cand253,Week 2,-1.2427951275818092
cand107,Week 2,1.1238136122926494
cand721,Week 2,-0.7774165488497973
cand667,Week 2,0.697219665110602
cand1244,Week 2,-0.15911520962301628
cand1347,Week 2,1.2673854749547147
cand203,Week 2,-1.6678580484378627
cand351,Week 2,0.7902765832256478
cand826,Week 2,-2.2625747208293876
cand1622,Week 2,-0.2268845188850479
cand889,Week 2,-1.2845606333892448
cand310,Week 2,-0.6009733871288191
cand846,Week 2,0.3040377153757052
cand774,Week 2,0.40544730198473655
cand222,Week 2,0.48604398068689025
cand1449,Week 2,1.2110000587654945
cand1424,Week 2,0.30403771538069746
cand1237,Week 2,0.3749217546685684
cand1252,Week 2,-0.9020859926547234
cand1264,Week 2,0.7667713252473323
cand1235,Week 2,-0.2986462344252677
cand1543,Week 2,1.5195186457565437
cand1609,Week 2,-0.35197077151144324
cand578,Week 2,-1.8975976934562095
cand1562,Week 2,0.07722284442648467
cand1458,Week 2,-0.44463805949883556
cand1466,Week 2,-0.6430358233563215
cand856,Week 2,-0.3471597671668554
cand495,Week 2,-0.3888044051511804
cand768,Week 2,-0.01934532804884237
cand1471,Week 2,-0.4610021762159646
