legislator_id,week1_score,week2_score,change,direction
cand921,-1.4113008712219228,1.5276551651661365,2.9389560363880594,More Conservative
cand884,-1.6844606788974055,1.1408123758325546,2.8252730547299603,More Conservative
cand826,0.06888090534028413,-2.2625747208293876,-2.3314556261696717,More Liberal
cand625,-1.167207525726592,1.1116169084383716,2.2788244341649637,More Conservative
cand607,-1.8221283719510586,0.1053124531295927,1.9274408250806512,More Conservative
cand253,0.6314270791858108,-1.2427951275818092,-1.87422220676762,More Liberal
cand885,-0.7973210161846926,1.032206208859245,1.8295272250439376,More Conservative
cand766,0.042733953260885055,-1.766498756068029,-1.809232709328914,More Liberal
cand889,0.5230440086826047,-1.2845606333892448,-1.8076046420718495,More Liberal
cand911,1.4141480888071989,-0.3718306379287166,-1.7859787267359155,More Liberal
cand1637,1.5866053817607226,-0.15646086869267195,-1.7430662504533947,More Liberal
cand310,1.1172089725032888,-0.6009733871288191,-1.7181823596321077,More Liberal
cand513,0.8021613273384928,-0.9113869896789146,-1.7135483170174073,More Liberal
cand1265,-0.6636693889725418,1.0219353133544158,1.6856047023269576,More Conservative
cand495,1.261739229759106,-0.3888044051511804,-1.6505436349102864,More Liberal
cand1622,1.3465250201358183,-0.2268845188850479,-1.5734095390208662,More Liberal
cand667,-0.7936183321615312,0.697219665110602,1.4908379972721333,More Conservative
cand1198,0.5561920058664482,-0.8976990362367198,-1.453891042103168,More Liberal
cand1239,0.2009640408732924,1.619644658826577,1.4186806179532845,More Conservative
cand1220,0.8008118605679868,-0.6139663855493512,-1.4147782461173382,More Liberal
cand396,-1.2179979356424584,0.155363963697218,1.3733618993396763,More Conservative
cand351,-0.5403371903849697,0.7902765832256478,1.3306137736106174,More Conservative
cand1252,0.4208297174408895,-0.9020859926547234,-1.322915710095613,More Liberal
cand230,0.542695745457272,-0.7630833726094722,-1.3057791180667442,More Liberal
cand864,1.4627443923610006,0.2414278751414884,-1.2213165172195122,More Liberal
cand856,-1.5523608370242155,-0.3471597671668554,1.20520106985736,More Conservative
cand194302,-0.29242163513239866,0.8780239697171541,1.1704456048495528,More Conservative
cand774,1.574367177796858,0.40544730198473655,-1.1689198758121213,More Liberal
cand560,-0.11413660449924938,1.050373916259461,1.1645105207587103,More Conservative
cand1465,1.431461568896325,0.33070888504761264,-1.1007526838487123,More Liberal
cand890,0.47102350835668677,1.5305140591420219,1.0594905507853352,More Conservative
cand868,1.4781607875639609,0.5052322956022022,-0.9729284919617587,More Liberal
cand756,-1.3640232003412833,-0.4066543015462522,0.9573688987950311,More Conservative
cand1477,0.17670227127895793,1.1005467998776077,0.9238445285986499,More Conservative
cand1562,0.9561907009811661,0.07722284442648467,-0.8789678565546815,More Liberal
cand203,-0.7975954529666865,-1.6678580484378627,-0.8702625954711761,More Liberal
cand894,-1.8149744870487496,-0.9567853384675287,0.858189148581221,More Conservative
cand1471,0.3781659690869235,-0.4610021762159646,-0.8391681453028881,More Liberal
cand1425,0.027668176062695615,-0.8045874284106886,-0.8322556044733842,More Liberal
cand765,-1.229208386261102,-2.038727475611696,-0.8095190893505939,More Liberal
cand886,0.8057436813675943,0.006143690333686891,-0.7995999910339074,More Liberal
cand1255,0.20889751316205415,0.9876165042894232,0.778718991127369,More Conservative
cand1496,-0.4564491128238474,-1.2208845440355596,-0.7644354312117121,More Liberal
cand578,-1.143102035799827,-1.8975976934562095,-0.7544956576563826,More Liberal
cand1304,1.368363739065793,0.6291280275018936,-0.7392357115638994,More Liberal
cand1638,0.06356847689689404,0.8015453211381035,0.7379768442412095,More Conservative
cand222,1.204968959412171,0.48604398068689025,-0.7189249787252808,More Liberal
cand1474,-0.5960538556558319,-1.2884006397231054,-0.6923467840672735,More Liberal
cand1467,-0.3226127277835043,0.3656659247986873,0.6882786525821916,More Conservative
cand721,-0.09055636329490845,-0.7774165488497973,-0.6868601855548888,More Liberal
cand1443,0.523044009847784,-0.15646086870809206,-0.679504878555876,More Liberal
cand1628,0.542695745370464,1.1781296116834539,0.6354338663129898,More Conservative
cand251,0.02842859163844441,0.659575704854156,0.6311471132157116,More Conservative
cand1264,1.3801739052785587,0.7667713252473323,-0.6134025800312264,More Liberal
cand1609,0.20096404087329256,-0.35197077151144324,-0.5529348123847357,More Liberal
cand1435,0.6352022707416201,0.0869439393690062,-0.5482583313726138,More Liberal
cand1349,1.3308185572216773,0.824791536074915,-0.5060270211467623,More Liberal
cand1455,-0.02267699740804505,-0.5092562747560713,-0.4865792773480262,More Liberal
cand1244,-0.6239426544805423,-0.15911520962301628,0.46482744485752603,More Conservative
cand770,0.6314270791605617,1.081763199408694,0.4503361202481323,More Conservative
cand1235,0.14921748828833323,-0.2986462344252677,-0.447863722713601,More Liberal
cand80,-2.5450575993865048,-2.0980549232239247,0.44700267616258005,More Conservative
cand584,-1.3603329231093886,-0.9343660282178549,0.4259668948915337,More Conservative
cand601,0.8763484610930175,0.46532462258285073,-0.4110238385101667,More Liberal
cand1543,1.117208972477556,1.5195186457565437,0.4023096732789877,More Conservative
cand760,-1.5097807480747019,-1.9084771437906531,-0.3986963957159513,More Liberal
cand788,-1.5923412096565819,-1.9708365162455288,-0.3784953065889469,More Liberal
cand408,0.8021613272749698,0.4280214956667447,-0.3741398316082251,More Liberal
cand1526,-0.2188395621245288,-0.5611661581557934,-0.3423265960312646,More Liberal
cand1230,-0.3688848197093356,-0.038527574743858456,0.33035724496547714,More Conservative
cand1288,1.0412690776648446,0.7212447766230966,-0.32002430104174795,More Liberal
cand785,-2.027452629852956,-1.7170811387720604,0.31037149108089546,More Conservative
cand1458,-0.14639432120375928,-0.44463805949883556,-0.2982437382950763,More Liberal
cand1303,1.1028725402444142,1.4010274195140344,0.29815487926962025,More Conservative
cand1340,1.0619103572015625,1.3582664647597111,0.2963561075581487,More Conservative
cand880,0.7233082574413692,0.9997059115695452,0.2763976541281761,More Conservative
cand1347,0.994574598486381,1.2673854749547147,0.2728108764683337,More Conservative
cand1503,-0.7660409341131428,-1.024055463525468,-0.25801452941232517,More Liberal
cand763,1.1577296132452577,1.4031995535888626,0.24546994034360492,More Conservative
cand730,0.954069693990938,1.1781296116834536,0.22405991769251565,More Conservative
cand837,0.8500304484533944,1.0135987378594298,0.1635682894060354,More Conservative
cand799,0.4936977380695141,0.6519635087101632,0.15826577064064906,More Conservative
cand719,0.16437387573536816,0.012992405046333422,-0.15138147068903474,More Liberal
cand1494,0.47271282638674017,0.3278557224372217,-0.14485710394951845,More Liberal
cand619,-0.5918211986300763,-0.7329685681637088,-0.1411473695336325,More Liberal
cand1323,-0.2842140055822324,-0.16972588160316837,0.11448812397906405,More Conservative
cand846,0.19730714125484256,0.3040377153757052,0.10673057412086262,More Conservative
cand768,-0.09690248556996117,-0.01934532804884237,0.0775571575211188,Stable
cand872,0.9493550106948786,0.8794268133735667,-0.06992819732131195,Stable
cand1449,1.1709121648141099,1.2110000587654945,0.04008789395138468,Stable
cand1275,0.9995811479626999,1.0174030894608455,0.017821941498145533,Stable
cand1424,0.31551655967194764,0.30403771538069746,-0.011478844291250179,Stable
